Trial ID,Learning Rate,Number of Conv Layers,Filters,Final Accuracy,Final Validation Accuracy,Final Validation Loss
00,1e-05,2,"[64, 32]",0.5744773745536804,0.8083623647689819,0.7153727412223816
01,0.0001,3,"[32, 96, 32]",0.5709930062294006,0.9459930062294006,0.2101656198501587
02,0.001,3,"[128, 96, 64]",0.4451219439506531,1.0,6.271986308092892e-08
03,0.001,4,"[128, 64, 96, 32]",0.7582752704620361,1.0,0.0009336847579106688
04,0.0001,4,"[96, 128, 128, 64]",0.6820557713508606,1.0,5.576767944148742e-05
05,0.001,3,"[96, 64, 64]",0.5561846494674683,1.0,0.003216333920136094
06,0.0001,2,"[32, 128]",0.34581881761550903,1.0,0.0
07,0.0001,4,"[96, 64, 96, 128]",0.667682945728302,1.0,5.372855594032444e-05
08,0.0001,2,"[128, 32]",0.5648954510688782,1.0,0.0032968083396553993
09,0.001,4,"[96, 128, 96, 96]",0.5261324048042297,1.0,0.054470404982566833
10,0.0001,2,"[64, 64]",0.49738675355911255,1.0,0.001998162129893899
11,1e-05,2,"[96, 64]",0.5304877758026123,0.8780487775802612,0.3779805600643158
12,1e-05,3,"[96, 128, 32]",0.5209059119224548,0.6358885169029236,0.8843812942504883
13,1e-05,4,"[128, 128, 64, 32]",0.3924216032028198,1.0,0.3672378361225128
14,1e-05,2,"[128, 32]",0.48301392793655396,0.9564459919929504,0.3561027944087982
15,0.0001,3,"[64, 128, 96]",0.5466027855873108,1.0,0.0022472236305475235
16,0.0001,2,"[32, 128]",0.3484320640563965,1.0,0.0
17,0.0001,3,"[128, 64, 128]",0.5709930062294006,1.0,0.0074396622367203236
18,0.001,4,"[64, 96, 64, 32]",0.6367595791816711,1.0,0.0044694882817566395
19,1e-05,4,"[32, 128, 32, 64]",0.49216029047966003,0.8310104608535767,0.6197004914283752
